,英文,中文
1237,gift,n. 礼物，天赋
1238,giraffe,n. 长颈鹿
1239,girl,n. 女孩
1240,give,v. 给
1241,glad,adj. 高兴的
1242,glass,n. 玻璃，玻璃杯
1243,glove,n. 手套
1244,glue,n. 胶水
1245,go,v. 去
1246,goal,n. 目标
1247,god*,n. 上帝
1248,gold,n. 金  adj. 金色的
1249,good,adj. 好的
1250,goodbye,int. 再见
1251,government,n. 政府
1252,grade,"n. 年级  v. 分级, 评分"
1253,gradually,adv. 逐渐地
1254,graduate*,v. 毕业
1255,grammar,n. 语法
1256,granddaughter,n. 孙女，外孙女
1257,grandfather,n. 祖父，外祖父
1258,grandma,n. 祖母，外祖母
1259,grandmother,n. 祖母，外祖母
1260,happy,adj. 开心的
1261,hard,adj. 难的
1262,hardly,adv. 几乎不
1263,harm*,v. /n. 伤害
1264,harmful,adj. 有害的
1265,hat,n. 帽子
1266,hate,v. 讨厌
1267,have,v. 有
1268,he,pron. 他
1269,head,n. 头，脑袋
1270,headache,n. 头痛
1271,health,n. 健康
1272,healthy,adj. 健康的
1273,hear,v. 听，听见
1274,heart,n. 心
1275,heat,v. 加热  n. 热
1276,heavy,adj. 重的
1277,height,n. 高度
1278,hello,int. 你好
1279,help,v./n. 帮助
1280,helpful,adj. 有帮助的
1281,hen,n. 母鸡
1282,her,det. 她的
1283,here,adv. 在这里
1284,hero,n. 英雄
1285,hers,pron. 她的(物品)
1286,herself,pron. 她自己
1287,hi,int. 你好
1288,hide,v. 躲藏
1289,high,adj. 高的
1290,huge,adj. 巨大的
1291,human,n. 人类
1292,humorous,adj. 幽默的
1293,humour*,n. 幽默(AmE humor)
1294,hungry,adj. 饿的
1295,hunt*,v. 打猎
1296,hurry,v. /n. 赶快，匆忙
1297,hurt,v.受伤n.伤adj.受伤的
1298,husband,n. 丈夫
1299,I,pron. 我
1300,ice,n. 冰
1301,ice cream,n. 冰淇淋
1302,idea,n. 主意，想法
1303,if,conj. 如果
1304,ill,adj. 生病的
1305,illness,n. 病
1306,imagine,v. 想象
1307,immediate,adj. 立即的
1308,important,adj. 重要的
1309,impossible,adj. 不可能的
1310,improve,v. 提高
1311,in,prep. 在...里面
1312,include,v. 包括
1313,increase,v. 增长
1314,India,n. 印度
1315,Indian,n. 印度人 adj. 印度的
1316,industry,n. 工业
1317,infer,v. 推断
1318,influence,n. 影响
1319,information,n. 信息
1320,joke,n. 玩笑  v. 开玩笑
1321,journey,n. 旅程
1322,joy*,n. 快乐，喜悦
1323,judge,v. 判断  n. 法官
1324,juice,n. 果汁
1325,jump,v. 跳
1326,junior*,adj. 初级的 n. 青少年
1327,just,adv. 仅仅，正好
1328,keep,v. 保持
1329,key,n. 钥匙 adj. 关键的
1330,keyboard,n. 键盘
1331,kick,v. 踢
1332,kid,n. 小孩
1333,kill,v. 杀死，消灭
1334,kilo,n. 千克
1335,kilogram,n. 千克
1336,kilometre,n.千米(AmE kilometer)
1337,kind,n. 种类 adj. 善良的
1338,king,n. 国王
1339,kiss,v. 亲，亲吻
1340,kitchen,n. 厨房
1341,kite,n. 风筝
1342,knee,n. 膝盖
1343,knife,n. 餐刀
1344,knock,v. 敲
1345,know,v. 知道，认识
1346,knowledge,n. 知识
1347,kung fu*,n. 功夫
1348,lab,n. 实验室
1349,letter,n. 信件
1350,level,n. 等级
1351,library,n. 图书馆
1352,lie,v. 躺；撒谎
1353,life,n. 生活
1354,lift,v. 举起，抬起
1355,light,n. 光
1356,lightning*,n. 闪电 adj. 闪电般的 
1357,like,v. 喜欢  prep. 像
1358,likely*,"adj. 可能的, 有希望的"
1359,limit,v. /n. 限制
1360,line,n. 线
1361,lion,n. 狮子
1362,list,v. 列举
1363,listen,v. 听
1364,literature*,n. 文学
1365,litter,n. 垃圾 v. 扔垃圾
1366,little,adj. 小的
1367,live,v. 生活，居住
1368,lively,adj. 精力充沛的
1369,local,adj. 当地的
1370,lock,v. 锁
1371,London,n. 伦敦
1372,lonely,adj. 孤独的
1373,long,adj. 长的
1374,look,v. 看
1375,lose,v. 失去
1376,loss*,n. 缺少，损失
1377,lost*,adj. 迷路的，丢失的
1378,lot,"det. /pron. 许多, 大量"
1379,matter,n. 事情  v. 要紧
1380,may,modal 可以，也许
1381,maybe,adv. 也许
1382,me,pron. 我
1383,meal,n. 一顿饭
1384,mean,v. 意思是，意味着
1385,meaning,n. 意义
1386,meat,n. 肉
1387,medal*,n. 奖牌
1388,medical,adj. 医学的
1389,medicine,n. 药
1390,medium*,"n.媒体,媒介(pl.media)"
1391,meet,v. 见面
1392,meeting,n. 会议
1393,member,n. 成员
1394,memory,n. 记忆
1395,mention,v. 提到，涉及
1396,menu,n. 菜单
1397,mess,n. 混乱
1398,message,n. (书面/口头的)信息
1399,method,n. 方法
1400,metre,n. 米(AmE meter)
1401,middle,n. 中间
1402,might,modal 可以，也许
1403,mile,n. 英里
1404,milk,n. 牛奶
1405,mind,n. 大脑  v. 介意
1406,mine,pron. 我的(物品)
1407,minute,n. 分钟
1408,mirror*,n. 镜子
1409,mutton*,n. 羊肉
1410,my,det. 我的
1411,myself,pron. 我自己
1412,name,n. 名字 v. 命名
1413,narrow*,adj. 狭窄的
1414,nation*,n. 国家，民族
1415,national,adj. 国家的
1416,natural,adj. 自然的
1417,nature,n. 大自然，本质
1418,naughty,adj. 淘气的
1419,near,prep. 在......旁边
1420,nearly,adv. 几乎
1421,necessary,adj. 必要的
1422,neck,n. 脖子
1423,need,modal 需要
1424,neighbour,n.邻居(AmE neighbor)
1425,neither,pron. (两者)都不
1426,nervous,adj. 紧张的
1427,never,adv. 从不
1428,new,adj. 新的
1429,news,n. 新闻
1430,newspaper,n. 报纸
1431,next,adj. 下一个的
1432,nice,adj. 美好的
1433,night,n. 夜晚
1434,no,det. / int. 没有
1435,nobody,pron. 没有人
1436,nod,v. 点头
1437,noise,n. 噪音
1438,noisy,adj. 吵闹的
1439,Olympics,n. 奥林匹克
1440,on,prep. 在......上面
1441,once,conj.一...就... adv.一次
1442,onion*,n. 洋葱
1443,online,adj. 在线的
1444,only,adv. 只有，仅仅
1445,open,v. 打开
1446,opera*,n. 歌剧
1447,operate,v. 操作，执行
1448,opinion,n. 观点
1449,opportunity,n. 机会
1450,opposite,adj. 相反的，对面的
1451,or,conj. 或者
1452,orange,n. 橙色；橘子
1453,order,n. 顺序  v. 命令
1454,organize,v. 组织
1455,other,adj. 其他的
1456,our,det. 我们的
1457,ours,pron. 我们的(物品)
1458,ourselves,pron. 我们自己
1459,out,adv. 出来
1460,outside,adv. 在外面
1461,oven*,n. 烤箱，烤炉
1462,over,prep. 在...上方; 超过
1463,own,adj. 自己的
1464,p.m.*,n. 下午
1465,Pacific,n. 太平洋
1466,pack*,v. 收拾(行李)，包装
1467,packet*,n. 小包裹
1468,page,n. 页
1469,percent*,n. 百分比
1470,perfect,adj. 完美的
1471,perform,v. 表演
1472,perhaps,adv. 也许
1473,period,n. 一段时间
1474,person,n. 人
1475,personal,adj. 私人的，个人的
1476,pet,n. 宠物
1477,phone,n. 电话
1478,photo,n. 照片
1479,photograph*,n. 照片
1480,physical education,n. 体育
1481,physics,n. 物理
1482,piano*,n. 钢琴
1483,pick,v. 选择
1484,picnic,n. 野餐
1485,picture,n. 图片
1486,pie,n. 派
1487,piece,n. 片，块，段
1488,pig,n. 猪
1489,pill*,n. 药丸，药片
1490,pilot,n. 飞行员
1491,ping-pong*,n. 乒乓球
1492,pink,n. 粉色
1493,pioneer,n. 先锋者，开拓者
1494,pity,n. 遗憾
1495,pizza*,n. 匹萨
1496,place,n. 地方 v. 放置
1497,plan,n. /v. 计划
1498,plane,n. 飞机
1499,post,v. 邮寄  n. 邮政
1500,postcard,n. 明信片
1501,postman,n. 邮递员
1502,pot*,n. 锅，罐，壶，瓶
1503,potato,n. 土豆，马铃薯
1504,pound,n. 英镑
1505,pour*,v. 倾倒，倾泻
1506,power,n. 力量，权力
1507,practice,n. 练习
1508,praise,v. /n. 赞扬，赞赏
1509,predict,v. 预测
1510,prefer,v. 更喜欢
1511,prepare,v. 准备
1512,present,n.礼物 v.出席 adj.在场的
1513,president,n. 总统
1514,press*,"v.按压 n.报纸,出版社"
1515,pressure*,n. 压力
1516,pretty,adj. 漂亮的 adv. 相当
1517,prevent,v. 阻止
1518,price,n. 价格
1519,pride,n. 自豪，骄傲
1520,primary,adj. 初级的，主要的
1521,prince*,n. 王子
1522,princess*,n. 公主
1523,print,v. 打印
1524,private,adj. 私人的，亲密的
1525,prize,n. 奖励，奖品
1526,probably,adv. 可能
1527,problem,n. 难题
1528,process,n. 过程 v. 加工
1529,race,n. 比赛
1530,radio,n. 广播
1531,railway,n. 铁路
1532,rain,n. 雨 v. 下雨
1533,rainbow*,n. 彩虹
1534,rainy,adj. 多雨的
1535,raise,v. 提升，举起
1536,rapid,adj. 迅速的
1537,rather*,adv. 相当地，反而
1538,reach,v. 到达
1539,read,v. 阅读
1540,ready,adj. 做好准备的
1541,real,adj. 真实的
1542,realise,v. 意识到
1543,really,adv. 真正地
1544,reason,n. 原因 v. 推理
1545,receive,v. 到达，拿到
1546,recent*,adj. 最近的
1547,recently,adv. 最近
1548,recognise,v. 认出
1549,recommend*,v. 推荐，劝告
1550,record,n. /v. 记录
1551,recycle*,v. 循环
1552,red,n. 红色 adj. 红色的
1553,reduce*,v. 减少
1554,refer,v. 指出，提到，涉及
1555,refrigerator,n. 冰箱
1556,refuse,v. 拒绝
1557,regret,v. 后悔
1558,relate,v. 与...有关
1559,rocket*,n. 火箭
1560,role,n. 角色
1561,room,n. 房间
1562,rope,n. 绳子
1563,rose,n. 玫瑰 v. rise过去式
1564,round,prep.环绕  adj.圆形的
1565,row,n. 一列
1566,rubbish,n. 垃圾
1567,rule,n. 规则 v. 管理
1568,ruler,n. 尺子
1569,run,v. 跑，经营
1570,rush,v. 冲，迅速移动
1571,Russia,n. 俄罗斯
1572,Russian,"n.俄罗斯人,俄语 adj.俄罗斯的"
1573,sad,adj. 悲伤的
1574,safe,adj. 安全的
1575,safely,adv. 安全地
1576,safety,n. 安全
1577,salad,n. 沙拉
1578,sale,v. 卖
1579,salt,n. 盐
1580,same,adj. 相同的
1581,sand,n. 沙子
1582,sandwich,n. 三明治
1583,satisfy,v. 使满足
1584,save,"v. 拯救, 救助, 省(钱)"
1585,say,v. 说
1586,scare*,v. 使害怕
1587,scarf,n. 围巾
1588,school,n. 学校
1589,share,v. 分享
1590,shark*,n. 鲨鱼
1591,she,pron. 她
1592,sheep,n. 羊，绵羊
1593,shelf*,n. 架子(pl. shelves)
1594,shine,v. 照耀，发光
1595,ship,n. 小船
1596,shirt,n. 衬衫
1597,shock*,n. 震惊 v. 使震惊
1598,shoe,n. 鞋
1599,shoot*,v. 射击
1600,shop,n. 商店
1601,short,adj. 短的，矮的
1602,shorts,n. 短裤
1603,should,modal 应该
1604,shoulder,n. 肩膀
1605,shout,v. 大喊
1606,show,"n. 演出 v. 展示, 表明"
1607,shower,n. 淋浴，阵雨
1608,shut,v. 关闭
1609,shy,adj. 害羞的
1610,sick,adj. 生病的
1611,side,n. 一侧
1612,sight,n. 视力
1613,sign,"n. 迹象, 标志 v. 签名"
1614,silence,n. 安静，寂静
1615,silent,adj. 安静的，寂静的
1616,silk,n. 丝绸
1617,silly,adj. 傻的
1618,silver,n. 银色
1619,social,adj. 社会的
1620,socialism*,n. 社会主义
1621,society,n. 社会
1622,sock,n. 袜子
1623,sofa,n. 沙发
1624,soft,adj. 柔软的
1625,soil*,n. 土壤
1626,soldier*,n. 士兵
1627,solve,v. 解决
1628,some,det. / pron. 一些
1629,somebody,pron. 某些人
1630,someone,pron. 某些人
1631,something,pron. 某些事
1632,sometimes,adv. 有时
1633,somewhere,adv. 在某地
1634,son,n. 儿子
1635,song,n. 歌曲
1636,soon,adv. 不久
1637,sore*,adj. 疼痛的 n. 痛处
1638,sorry,int.对不起 adj.难过的
1639,sound,n. 声音 v. 听起来
1640,soup,n. 汤
1641,south,n. 南方，南部
1642,southern,adj. 南方的
1643,space,n. 空间，太空
1644,spare,v. 节省 adj. 空闲的
1645,speak,v. 说
1646,speaker,n. 发言者
1647,special,adj. 特别的
1648,speech,n. 演讲
1649,straight,adj. 笔直的
1650,strange,adj. 陌生的
1651,stranger,n. 陌生人
1652,strawberry,n. 草莓
1653,street,n. 街道
1654,stress,"n. 压力, 紧张 v. 强调"
1655,strict,adj. 严厉的
1656,strong,adj. 强壮的
1657,student,n. 学生
1658,study,v. /n.  学习，研究
1659,stupid,adj. 蠢的
1660,style,n. 风格
1661,subject,n. 主题 adj. 主观的
1662,succeed,v. 成功
1663,success,n. 成功
1664,successful,adj. 成功的
1665,such,"det./pron.这样的,类似的"
1666,sudden,adj. 突然的
1667,suffer*,v. 遭受
1668,sugar,n. 糖
1669,suggest,v. 建议
1670,suggestion,n. 建议
1671,suit*,"v. 适合, 满足 n. 套装"
1672,summer,n. 夏天
1673,sun,n. 太阳
1674,sunny,adj. 晴朗的
1675,supermarket,n. 超市
1676,supper,n. 晚饭
1677,supply,v. 提供
1678,support,v. 支持
1679,teen,n. 青少年(时期)
1680,teenage*,adj. 青少年的
1681,teenager,n. 青少年人
1682,telephone,n. 电话
1683,television,n. 电视
1684,tell,v. 告诉，辨别
1685,temperature,n. 温度
1686,tennis,n. 网球
1687,tent*,n. 帐篷
1688,term,n. 学期
1689,terrible,adj. 糟糕的
1690,test,n. 测试
1691,text,n. 文本
1692,than,conj. /prep. 比
1693,thank,v. 感谢
1694,that,det. /pron. 那个
1695,the,art.(前文提到的)那个
1696,theatre,n. 戏剧，剧院
1697,their,det. 他们的
1698,theirs*,pron. 他们的(物品)
1699,them,pron. 他们
1700,themselves,pron. 他们自己
1701,then,adv. 当时，那时
1702,there,adv. 在那里
1703,therefore*,adv. 因此
1704,these,det. / pron. 这些
1705,they,pron. 他们
1706,thick,adj. 厚的
1707,thin,adj. 瘦的
1708,thing,n. 事情，事物
1709,toothache,n. 牙疼
1710,top,n. 顶端
1711,topic,n. 标题，话题
1712,total,adj. 共计的
1713,touch,v. 触摸
1714,tour,n. 旅行，巡回比赛
1715,tourist,n. 游客
1716,toward,"prep.朝, 面对; 趋向于"
1717,tower,n. 塔
1718,town,n. 小镇
1719,toy,n. 玩具
1720,trade,v. 交易，贸易
1721,tradition*,n. 传统
1722,traditional,adj. 传统的
1723,traffic,n. 交通
1724,train,n. 火车 v. 训练
1725,training,n. 训练
1726,translate,v. 翻译
1727,travel,v. 旅游
1728,treasure,n. 宝藏
1729,treat,"v. 招待, 对待  n. 款待"
1730,tree,n. 树
1731,trip,n. 短途旅行，郊游
1732,trouble,n. 麻烦，困难
1733,trousers,n. 裤子
1734,truck,n. 卡车
1735,true,adj. 正确的，真实的
1736,trust,n. /v. 信任，相信
1737,truth,n. 事实，真相
1738,try,v. 尝试
1739,valuable,adj. 有价值的
1740,value,n. 价值
1741,various,adj. 各种各样的
1742,vegetable,n. 蔬菜
1743,very,adv. 非常
1744,victory,n. 胜利
1745,video,n. 录像，录像带
1746,view*,n. 观点 v. 看
1747,village,n. 村庄
1748,violin,n. 小提琴
1749,virus*,n. 病毒
1750,visit,v. 参观，访问
1751,visitor,n. 参观者，游客
1752,voice,n. 嗓音 v. 表达
1753,volleyball,n. 排球
1754,voluntary*,adj. 志愿的，义务的
1755,volunteer,n. 志愿者
1756,vote*,v. 投票 n. 选票
1757,wait,v. 等待
1758,wake,v. 醒来，起身
1759,walk,v. 行走
1760,wall,n. 墙
1761,wallet,n. 钱包
1762,want,v. 想要
1763,war,n. 战争
1764,warm,adj. 温暖的
1765,warn,v. 警告
1766,wash,v. 洗
1767,waste,v. 浪费
1768,watch,n. 手表 v. 观看
1769,white,n. 白色 adj. 白色的
1770,who,pron. 谁
1771,whole,adj. 全部的
1772,whom,pron. 谁
1773,whose,det. /pron. 谁的
1774,why,adv. 为什么
1775,wide,adj. 宽的
1776,wife,n. 妻子
1777,wild,adj. 野生的
1778,will,modal 将要，将会
1779,win,v. 胜利
1780,wind,n. 风
1781,window,n. 窗户
1782,windy,adj. 刮风的
1783,wing,n. 翅膀
1784,winner,n. 胜利者
1785,winter,n. 冬天
1786,wise,adj. 明智的，聪明的
1787,wish,v. 希望，想要，盼望
1788,with,prep. 和，随着，用
1789,within*,prep. 在...之内
1790,without,prep. 没有
1791,wolf*,n. 狼(pl. wolves)
1792,woman,n. 女人
1793,wonder,"n.惊讶,奇迹 v.想知道"
1794,wonderful,adj. 精彩的，绝妙的
1795,wood,n. 木头
1796,word,n. 单词
1797,work,v. 工作
1798,worker,n. 工人
1799,five,num. 5
1800,six,num. 6
1801,seven,num. 7
1802,eight,num. 8
1803,nine,num. 9
1804,ten,num. 10
1805,eleven,num. 11
1806,twelve,num. 12
1807,thirteen,num. 13
1808,fourteen,num. 14
1809,fifteen,num. 15
1810,sixteen,num. 16
1811,seventeen,num. 17
1812,eighteen,num. 18
1813,nineteen,num. 19
1814,twenty,num. 20
1815,thirty,num. 30
1816,forty,num. 40
1817,fifty,num. 50
1818,sixty,num. 60
1819,seventy,num. 70
1820,eighty,num. 80
1821,ninety,num. 90
1822,hundred,num. 百
1823,thousand,num. 千
1824,million,num. 百万
1825,billion,num. 十亿
1826,January,n. 一月
1827,February,n. 二月
1828,March,n. 三月
1829,seventeenth*,ord. 第17
1830,eighteenth*,ord. 第18
1831,nineteenth*,ord. 第19
1832,twentieth*,ord. 第20
1833,thirtieth*,ord. 第30
1834,fortieth*,ord. 第40
1835,fiftieth*,ord. 第50
1836,sixtieth*,ord. 第60
1837,seventieth*,ord. 第70
1838,eightieth*,ord. 第80
1839,ninetieth*,ord. 第90
1840,hundredth*,ord. 第100
